Lock: 		число прогонов - 10, число писателей - 3, число читателей - 3, среднее время выполнение - 353,4264 мс
ResetEvent: число прогонов - 10, число писателей - 3, число читателей - 3, среднее время выполнение - 54,0078 мс
Semaphore: 	число прогонов - 10, число писателей - 3, число читателей - 3, среднее время выполнение - 57,2731 мс
Interlock: 	число прогонов - 10, число писателей - 3, число читателей - 3, среднее время выполнение - 165,8198 мс


Lock: 		число прогонов - 10, число писателей - 3, число читателей - 2, среднее время выполнение - 283,9538 мс
ResetEvent: число прогонов - 10, число писателей - 3, число читателей - 2, среднее время выполнение - 41,3354 мс
Semaphore: 	число прогонов - 10, число писателей - 3, число читателей - 2, среднее время выполнение - 51,5047 мс
Interlock: 	число прогонов - 10, число писателей - 3, число читателей - 2, среднее время выполнение - 128,2853 мс


Lock: 		число прогонов - 10, число писателей - 4, число читателей - 2, среднее время выполнение - 293,6621 мс
ResetEvent: число прогонов - 10, число писателей - 4, число читателей - 2, среднее время выполнение - 49,4379 мс
Semaphore: 	число прогонов - 10, число писателей - 4, число читателей - 2, среднее время выполнение - 47,1960 мс
Interlock: 	число прогонов - 10, число писателей - 4, число читателей - 2, среднее время выполнение - 806,5804 мс


Lock:		число прогонов - 20, число писателей - 2, число читателей - 2, среднее время выполнение - 106,069794736842 мс
ResetEvent: число прогонов - 20, число писателей - 2, число читателей - 2, среднее время выполнение - 25,0912842105263 мс
Semaphore:  число прогонов - 20, число писателей - 2, число читателей - 2, среднее время выполнение - 25,1642842105263 мс
Interlock:  число прогонов - 20, число писателей - 2, число читателей - 2, среднее время выполнение - 42,4289210526316 мс
